LED,Color,R,G,B,u`,v`,target u`,target v`
1,Green,0,255,1,0.354019412,0.54,0.0569,0.5745
1,Blue,0,1,255,0.167,0.206,0.1562,0.2157
1,Yellow,181,113,0,0.266,0.555,0.265505,0.5517
1,Orange,0,255,1,0.354019412,0.54,0.3516,0.5389
1,White,133,154,91,0.354019412,0.54,0.192645,0.46485
1,Purple,151,43,205,0.230834142,0.320567347,0.2425,0.3259
2,Green,0,255,0,0.084224859,0.571375846,,
2,Blue,0,22,255,0.154036593,0.215176621,,
2,Yellow,201,110,0,0.262576882,0.551896923,,
2,Orange,255,58,0,0.36155632,0.536443504,,
2,White,133,154,91,0.189718267,0.462950533,,
2,Purple,151,43,205,0.231458811,0.318483786,,
3,Green,0,255,0,0.083051413,0.571652015,,
3,Blue,0,22,255,0.15391715,0.214604859,,
3,Yellow,201,110,0,0.267194144,0.550331849,,
3,Orange,255,58,0,0.354019412,0.54,,
3,White,133,154,91,0.189345566,0.464597662,,
3,Purple,151,43,205,0.23227708,0.31736727,,
4,Green,0,255,0,0.083120117,0.570557307,,
4,Blue,0,22,255,0.15370358,0.213798745,,
4,Yellow,201,110,0,0.267405495,0.549569561,,
4,Orange,255,58,0,0.357944984,0.532730956,,
4,White,133,154,91,0.189468895,0.464292429,,
4,Purple,151,43,205,0.233138465,0.316534795,,
5,Green,0,255,0,0.082958281,0.57009629,,
5,Blue,0,22,255,0.153778527,0.213638709,,
5,Yellow,201,110,0,0.269447603,0.548411691,,
5,Orange,255,58,0,0.356095567,0.530829712,,
5,White,133,154,91,0.189690725,0.463298375,,
5,Purple,151,43,205,0.233590973,0.317107929,,
6,Green,0,255,0,0.082657337,0.568412612,,
6,Blue,0,22,255,0.153195029,0.211563272,,
6,Yellow,201,110,0,0.26932895,0.547612777,,
6,Orange,255,165,0,0.354019412,0.54,,
6,White,133,154,91,0.189840121,0.462952917,,
6,Purple,255,165,0,0.245,0.325,,
7,Green,0,255,0,0.082295638,0.567940742,,
7,Blue,0,22,255,0.153187789,0.211286512,,
7,Yellow,201,110,0,0.270212359,0.547085704,,
7,Orange,255,58,0,0.354019412,0.54,,
7,White,133,154,91,0.189929874,0.462384573,,
7,Purple,151,43,205,0.245,0.325,,
8,Green,0,255,60,0.101,0.517,,
8,Blue,0,1,255,0.17,0.179,,
8,Yellow,255,100,0,0.32,0.548,,
8,Orange,255,255,255,0.354019412,0.54,,
8,White,255,255,255,0.354019412,0.54,,
8,Purple,101,18,166,0.253,0.308,,
